"ID","Description","GeneRatio","BgRatio","Count","pvalue","geneID","p.adjust","qvalue"
"pau00405","Phenazine biosynthesis","6/13","24/2048",6,2.15283374102019e-09,"PA14_51360/PA14_51380/PA14_51390/PA14_51410/PA14_51420/PA14_51430",2.15283374102019e-08,2.15283374102019e-08
"pau00970","Aminoacyl-tRNA biosynthesis","6/13","86/2048",6,6.24528310560746e-06,"PA14_23570/PA14_23580/PA14_27610/PA14_27620/PA14_65210/PA14_65220",3.12264155280373e-05,3.12264155280373e-05
"pau02024","Quorum sensing","6/13","111/2048",6,2.78725995908796e-05,"PA14_51360/PA14_51380/PA14_51390/PA14_51410/PA14_51420/PA14_51430",7.34008269447419e-05,7.34008269447419e-05
"pau02025","Biofilm formation - Pseudomonas aeruginosa","6/13","112/2048",6,2.93603307778968e-05,"PA14_51360/PA14_51380/PA14_51390/PA14_51410/PA14_51420/PA14_51430",7.34008269447419e-05,7.34008269447419e-05
"pau01110","Biosynthesis of secondary metabolites","6/13","442/2048",6,0.0419098682276029,"PA14_51360/PA14_51380/PA14_51390/PA14_51410/PA14_51420/PA14_51430",0.0838197364552058,0.0838197364552058
"pau00760","Nicotinate and nicotinamide metabolism","1/13","24/2048",1,0.14246809508177,"PA14_64950",0.237446825136284,0.237446825136284
"pau00400","Phenylalanine, tyrosine and tryptophan biosynthesis","1/13","32/2048",1,0.185626090486868,"PA14_51360",0.265180129266955,0.265180129266955
"pau01230","Biosynthesis of amino acids","1/13","146/2048",1,0.618783032448157,"PA14_51360",0.773478790560196,0.773478790560196
"pau01240","Biosynthesis of cofactors","1/13","186/2048",1,0.711073718086491,"PA14_64950",0.79008190898499,0.79008190898499
"pau01100","Metabolic pathways","2/13","1047/2048",2,0.998711449091134,"PA14_51360/PA14_64950",0.998711449091134,0.998711449091134
